Mobile,Country,Upload,Download,Latency,GDP Growth
0.0,Gabon,-1587.0,-4872.0,-7.0,-1.32393655297315
0.0,Georgia,-293.0,361.0,-2.0,-6.15967292756974
0.0,Germany,5342.0,19709.0,-1.0,-4.56961671737398
0.0,Ghana,547.0,2210.0,-6.0,0.414443468055197
0.0,Greece,778.0,4166.0,-15.0,-8.24773611483073
0.0,Grenada,3522.0,8278.0,-2.0,-11.2307582271741
0.0,Guatemala,1965.0,4963.0,-17.0,-1.51932802919289
0.0,Guinea,2609.0,6241.0,-29.0,6.98855997075241
0.0,Guinea-Bissau,-1364.0,-876.0,45.0,-2.39999999921721
0.0,Guyana,4257.0,12568.0,-5.0,43.4795146332261
0.0,Haiti,2019.0,4509.0,-1.0,-3.37375049597422
0.0,Honduras,2778.0,5245.0,-9.0,-8.96476018404584
0.0,Hungary,19630.0,37613.0,-2.0,-4.95674851669689
0.0,Iceland,23164.0,32017.0,0.0,-6.50391225040894
0.0,India,16742.0,16922.0,-9.0,-7.9646104111382
0.0,Indonesia,1095.0,3315.0,-1.0,-2.06954349906437
0.0,Iraq,2391.0,4485.0,-1.0,-10.3650901764239
0.0,Ireland,5403.0,29866.0,-7.0,5.86697550911293
0.0,Israel,7246.0,41793.0,-5.0,-2.44001079210835
0.0,Italy,5735.0,13897.0,-5.0,-8.87114634766792
0.0,Jamaica,6186.0,2774.0,0.0,-10.2
0.0,Japan,19933.0,57259.0,-5.0,-5.80990557067783
0.0,Jordan,6441.0,9289.0,-3.0,-1.5513843252939
0.0,Kazakhstan,6180.0,7455.0,-8.0,-2.60000000027189
0.0,Kenya,1195.0,2464.0,-12.0,-0.307497490498449
0.0,Latvia,-6399.0,-8526.0,-7.0,-3.62368391569032
0.0,Lebanon,37484.0,47578.0,-16.0,-20.2999931945589
0.0,Lesotho,-1607.0,-1729.0,15.0,-11.0609937385315
0.0,Liberia,5043.0,6919.0,-20.0,-2.87072242804096
0.0,Lithuania,31173.0,61415.0,-10.0,-0.871905539751921
0.0,Luxembourg,-5679.0,-24751.0,6.0,-1.31320454303741
0.0,Madagascar,101232.0,130327.0,-13.0,-4.20000207447691
0.0,Malawi,23817.0,22236.0,-31.0,0.799999999999955
0.0,Malaysia,-21110.0,-38266.0,-1.0,-5.58774467806195
0.0,Maldives,25126.0,59839.0,8.0,-31.9820637101164
0.0,Mali,6066.0,-187.0,-51.0,-1.64926140079287
0.0,Malta,-8562.0,-56520.0,28.0,-7.00112961514149
0.0,Mauritania,20883.0,34478.0,-79.0,-1.48848721412935
0.0,Mauritius,-5469.0,-9339.0,84.0,-14.867831289276
0.0,Mexico,-5527.0,-2912.0,241.0,-8.23947327731744
0.0,Mongolia,43738.0,65997.0,25.0,-5.33555201697223
0.0,Montenegro,17283.0,-7246.0,3.0,-15.158984433142
0.0,Morocco,1419.0,5830.0,-28.0,-7.11723216887476
0.0,Mozambique,6378.0,15445.0,6.0,-1.28188697176552
0.0,Namibia,620.0,-944.0,-25.0,-7.98354382508364
0.0,Nepal,-14213.0,-12697.0,155.0,-2.08837869543885
0.0,Netherlands,-29307.0,-59764.0,1.0,-3.79863599268334
0.0,New Zealand,-15618.0,-13585.0,-11.0,0.98096509294345
0.0,Nicaragua,44131.0,74667.0,-1.0,-1.97732939329578
0.0,Niger,2611.0,14998.0,-208.0,1.50000554259205
0.0,Nigeria,776.0,1680.0,7.0,-1.79425308233591
0.0,Norway,-56838.0,-29116.0,-4.0,-0.76586036472996
0.0,Pakistan,14957.0,45673.0,-26.0,0.525527438790377
0.0,Panama,-3735.0,-2517.0,-14.0,-17.9493316725846
0.0,Papua New Guinea,8578.0,79576.0,-206.0,-3.878818537374
